senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval2.d000.s008.t001	2) without any others being included or involved.In the sentence, "only" is used to indicate that there is no
senseval2.d000.s008.t002	2) of or belonging to or characteristic of a particular locality or neighborhood
senseval2.d000.s008.t003	3) a contestant entered in a competition under false pretenses.In this context, "ringer" is likely referring to
senseval2.d000.s008.t004	3) be left; of persons, questions, problems, results, evidence, etc.In this sentence, "remains
senseval2.d000.s009.t000	1) in or at this place; where the speaker or writer is
senseval2.d000.s009.t001	2) the day that includes the present moment (as opposed to yesterday or tomorrow).
senseval2.d000.s009.t002	1) inhabit or live in; be an inhabitant of
senseval2.d000.s010.t001	1) any number of entities (members) considered as a unit
senseval2.d000.s010.t002	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s010.t003	3) add as part of something else; put in as part of a set, group, or category.This definition best
senseval2.d000.s010.t006	1) activity leading to skilled behavior.
senseval2.d000.s010.t007	1) operate or control a vehicle
senseval2.d000.s010.t008	1) first day of the week; observed as a day of rest and worship by most Christians.
senseval2.d000.s010.t009	2) a place for public (especially Christian) worship.
senseval2.d000.s010.t010	2) a place for public (especially Christian) worship
senseval2.d000.s010.t011	2) use of physical or mental energy; hard work.In this sentence, "effort" refers to the amount of
senseval2.d000.s010.t012	1) keep in a certain state, position, or activity; e.g,The most suitable definition for the word "keep
senseval2.d000.s010.t013	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s010.t014	2) make a certain noise or sound
senseval2.d000.s011.t000	3) to a greater degree or extent; used with comparisons.The sentence implies that the speaker is saying that to get even
senseval2.d000.s011.t001	15) the performance of duties by a waiter or servant.This definition of "service" is most suitable for the context of
senseval2.d000.s011.t002	1) a structure taller than its diameter; can stand alone or be attached to a larger building.
senseval2.d000.s011.t003	6) bruise, cut, or injure the skin or the surface of
senseval2.d000.s011.t004	6) speak, pronounce, or utter in a certain way.The sentence is indicating that Mr. Hammond is speaking or utter
senseval2.d000.s011.t006	1) a person who works at a specific occupationIn this context, Mr. Hammond is a retired person who worked at
senseval2.d000.s012.t000	1) make an effort or attempt.In the given sentence, "tried" is used to mean "made an effort
senseval2.d000.s012.t001	The most suitable dictionary definition that identifies the meaning of "train" in the given sentence is:3) develop (children's
senseval2.d000.s012.t003	1) popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly
senseval2.d000.s012.t004	3) taking a series of rhythmical steps (and movements) in time to music.This definition is the most suitable because
senseval2.d000.s012.t005	5) only a very short time before; - W.B.YeatsThis definition of "just" is used to
senseval2.d000.s012.t006	2) wander from a direct course or at random.This definition best describes the meaning of "drift" in the sentence
senseval2.d000.s012.t007	5) at a distance in space or time.This definition best fits the context of the sentence, as "drift away
senseval2.d000.s013.t000	1) be worried, concerned, anxious, troubled, or uneasy
senseval2.d000.s013.t003	1) a young person (especially a young man or boy)This definition best fits the context of the sentence, as "
senseval2.d000.s013.t005	5) the body of members of an organization or group.This definition best fits the context of the sentence, as it refers
senseval2.d000.s013.t006	1) any number of entities (members) considered as a unit.This definition best describes the meaning of "group" in
senseval2.d000.s013.t007	The most suitable definition for "keeps" is:7) look after; be the keeper of; have charge of
senseval2.d000.s013.t008	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s014.t000	2) a record or narrative description of past events.This definition best captures the meaning of "history" in the given sentence
senseval2.d000.s014.t001	10) an opinion that is held in opposition to another in an argument or dispute.In this sentence, "on his side
senseval2.d000.s015.t001	1) a detailed critical inspectionIn this context, the sentence implies that a thorough examination or assessment was conducted to gather information
senseval2.d000.s015.t002	The most suitable dictionary definition which identifies the meaning of "taken" among the given options is:4) get into one's
senseval2.d000.s015.t003	1) a period of time containing 365 (or 366) days
senseval2.d000.s015.t007	2) a place for public (especially Christian) worship
senseval2.d000.s015.t008	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s015.t009	2) not in any degree or manner; not at all.This definition best fits the context of the sentence, where "
senseval2.d000.s015.t011	3) make (bells) ring, often for the purposes of musical edification.
senseval2.d000.s015.t012	1) first day of the week; observed as a day of rest and worship by most Christians.
senseval2.d000.s015.t013	3) make (bells) ring, often for the purposes of musical edification
senseval2.d000.s016.t000	1) posing no difficulty; requiring little effort
senseval2.d000.s016.t001	1) perceive by sight or have the power to perceive by sight
senseval2.d000.s016.t002	2) very oldThe sentence "It is easy to see why the ancient art is on the ropes" implies that the
senseval2.d000.s016.t003	2) the creation of beautiful or significant things.
senseval2.d000.s017.t000	2) comparative of little.The word "less" is used to form the comparative of adjectives and adverbs, meaning
senseval2.d000.s017.t002	2) something a little different from others of the same type.In this sentence, the word "version" is used to
senseval2.d000.s017.t003	5) be at play; be engaged in playful activity; amuse oneself in a way characteristic of children.This definition captures
senseval2.d000.s017.t004	1) a succession of notes forming a distinctive sequence.This definition accurately describes the meaning of "tunes" in the given
senseval2.d000.s017.t005	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s017.t007	1) of or pertaining to or typical of Europe
senseval2.d000.s017.t008	1) the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer
senseval2.d000.s017.t009	2) give careful consideration to.This definition captures the meaning of "considered" in the given sentence, indicating that the
senseval2.d000.s017.t010	1) an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most
senseval2.d000.s017.t012	1) meeting adequate standards for a purpose
senseval2.d000.s017.t013	5) except that
senseval2.d000.s017.t014	1) a person who comes from a foreign country; someone who does not owe allegiance to your country.This definition best fits
senseval2.d000.s018.t002	1) an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most
senseval2.d000.s018.t003	1) come up with (an idea, plan, explanation, theory, or principle) after a mental effort.
senseval2.d000.s018.t004	1) a period of time containing 365 (or 366) days
senseval2.d000.s018.t006	2) consider obligatory; request and expectIn this sentence, "requires" is used to mean "need" or "
senseval2.d000.s018.t007	1) involving the body as distinguished from the mind or spirit
senseval2.d000.s018.t009	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s018.t010	4) have weight; have import, carry weight.The sentence implies that the bells weigh a lot (over a ton)
senseval2.d000.s018.t014	2) extremely sharp or intense.
senseval2.d000.s018.t015	1) involving the mind or an intellectual process.This definition captures the meaning of "mental" in the context of requiring intense
senseval2.d000.s018.t016	5) complete attention; intense mental effort.This definition best captures the meaning of "concentration" in the given sentence,
senseval2.d000.s019.t000	2) of or relating to the English language.
senseval2.d000.s019.t001	1) a hollow device made of metal that makes a ringing sound when struck.This definition most accurately describes the object referred to
senseval2.d000.s019.t003	11) a partsong in which voices follow each other; one voice starts and others join in one after another until all are
senseval2.d000.s019.t004	1) used of sounds and voices; high in pitch or frequency.
senseval2.d000.s019.t005	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s019.t006	5) used of sounds and voices; low in pitch or frequency.
senseval2.d000.s019.t007	1) having few parts; not complex or complicated or involved.
senseval2.d000.s019.t009	6) (music) a series of notes differing in pitch according to a specific scheme (usually within an octave).
senseval2.d000.s019.t010	1) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
senseval2.d000.s019.t012	2) a place for public (especially Christian) worship.
senseval2.d000.s019.t014	1) a hollow device made of metal that makes a ringing sound when struckThis definition directly describes the physical object that produces
senseval2.d000.s020.t000	1) subsequently or soon afterward (often used as sentence connectors)
senseval2.d000.s020.t001	1) any nonverbal action or gesture that encodes a message.In the given sentence, "signal" refers to
senseval2.d000.s020.t002	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s020.t003	1) take the first step or steps in carrying out an action.
senseval2.d000.s020.t004	1) become different in some particular way, without permanently losing one's or its former characteristics or essence.
senseval2.d000.s020.t005	15) the act of putting things in a sequential arrangement.This definition is the most suitable for the given sentence, as the
senseval2.d000.s020.t006	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s020.t007	2) make a certain noise or sound.
senseval2.d000.s020.t008	2) become different in some particular way, without permanently losing one's or its former characteristics or essence.This definition best captures
senseval2.d000.s020.t009	4) marked by firm determination or resolution; not shakable.This definition of "steady" implies a sense of stability
senseval2.d000.s020.t010	1) the basic rhythmic unit in a piece of music
senseval2.d000.s020.t011	2) the act of contacting one thing with another.This definition is more suitable because "striking" is a verb that
senseval2.d000.s021.t000	11) the act of changing or altering something slightly but noticeably from the norm or standard.This definition best captures the meaning of
senseval2.d000.s021.t002	1) come to pass
senseval2.d000.s021.t003	5) except thatIn this sentence, "only" is used to indicate that there is no exception, meaning that the
senseval2.d000.s021.t004	3) at a previous time.The sentence is stating that a variation or change can occur only at a previous time, implying
senseval2.d000.s021.t005	1) a principle or condition that customarily governs behaviorThis definition best fits the context of the sentence, as the
senseval2.d000.s021.t006	1) express in words
senseval2.d000.s022.t000	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s022.t005	1) a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
senseval2.d000.s022.t006	1) a language unit by which a person or thing is known
senseval2.d000.s023.t000	7) (mathematics) the sum of a finite or infinite sequence of expressions.This definition refers to the mathematical concept of
senseval2.d000.s023.t003	The most suitable definition of "takes" in the given sentence is:10) pick out, select, or choose from a
senseval2.d000.s023.t004	1) (of quantities) imprecise but fairly close to correct
senseval2.d000.s023.t005	1) a period of time equal to 1/24th of a day
senseval2.d000.s024.t000	2) the act of directing the eyes toward something and perceiving it visually
senseval2.d000.s024.t002	1) the time after sunset and before sunrise while it is dark outside
senseval2.d000.s024.t003	2) systematic training by multiple repetitions.This definition best fits the context of the sentence, as it implies that the practice refers
senseval2.d000.s024.t004	2) a place for public (especially Christian) worship
senseval2.d000.s024.t006	The most suitable definition for "gives" in the sentence is:4) convey or reveal informationThis definition fits the
senseval2.d000.s024.t007	1) the content of cognition; the main thing you are thinking about
senseval2.d000.s024.t008	1) activity directed toward making or doing something
senseval2.d000.s024.t009	1) connected by participation or association or use.This definition best fits the context of the sentence, as it implies that the
senseval2.d000.s025.t000	4) (horseshoes) the successful throw of a horseshoe or quoit so as to encircle a
senseval2.d000.s025.t001	3) occupy a place or location, also metaphoricallyIn this sentence, "stand" is used figuratively to mean
senseval2.d000.s025.t002	3) something approximating the shape of a circleThis definition is the most suitable because the sentence describes a group of people
senseval2.d000.s025.t003	1) the part of the leg of a human being below the ankle joint
senseval2.d000.s025.t004	1) at or in the front
senseval2.d000.s025.t006	1) standing posture
senseval2.d000.s025.t007	The most suitable dictionary definition that identifies the meaning of "pulling" in the given sentence is:4) apply force so
senseval2.d000.s025.t008	1) a strong line
senseval2.d000.s025.t009	9) not large but sufficient in size or amount.This definition is the most suitable because the sentence describes the rope as "
senseval2.d000.s025.t010	1) an opening into or through something.
senseval2.d000.s025.t011	2) (literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like
senseval2.d000.s025.t012	1) the overhead upper surface of a covered space
senseval2.d000.s025.t013	1) a natural or artificial enclosed space
senseval2.d000.s026.t000	5) make a characteristic or natural sound
senseval2.d000.s026.t002	1) a strong line.In the sentence, "ropes" refers to long, strong lines or cords, which are
senseval2.d000.s026.t003	2) seem to be true, probable, or apparent.In this context, "seems" is used to convey that
senseval2.d000.s026.t004	The most suitable dictionary definition for "make" in the sentence is:3) make or cause to be or to become
senseval2.d000.s026.t006	1) the particular auditory effect produced by a given causeThis definition is the most suitable for the given sentence, as it
senseval2.d000.s026.t007	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s026.t008	2) deaden (a sound or noise), especially by wrappingIn this sentence, "muffled" is used to
senseval2.d000.s026.t009	1) the overhead upper surface of a covered space
senseval2.d000.s027.t001	2) retained without reflectionIn this sentence, "absorbed" means completely focused and attentive, without distraction. This
senseval2.d000.s027.t002	2) a person who is almost identical to another.In this context, "ringers" refers to people who are almost
senseval2.d000.s027.t003	1) look at with fixed eyes
senseval2.d000.s027.t004	3) in a straight line; in a direct course
senseval2.d000.s027.t005	3) in a forward direction
senseval2.d000.s027.t006	1) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
senseval2.d000.s027.t008	The most suitable definition for the word "call" in the given sentence is:19) require the presentation of for redemption before
senseval2.d000.s027.t009	3) see or watch.
senseval2.d000.s027.t010	1) not the same one or ones already mentioned or implied; - the White Queen
senseval2.d000.s027.t011	1) a strong lineThe context of the sentence suggests that "ropes" refers to long, thin, flexible cords
senseval2.d000.s027.t012	1) (used to introduce a logical conclusion) from that fact or reason or as a result
senseval2.d000.s027.t013	1) measure the time or duration of an event or action or the person who performs an action in a certain period of time
senseval2.d000.s027.t014	1) the act of pulling; applying force to move something toward or with you.
senseval2.d000.s028.t000	2) at or to or from a great distance in space
senseval2.d000.s028.t001	2) in or to a place that is higher
senseval2.d000.s028.t004	2) made from or consisting of bronze.This definition directly refers to the material composition of "bronze", whereas the other
senseval2.d000.s028.t005	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s028.t006	1) attach to a supportIn the given sentence, "mounted" is used to describe the position of the bronze bells
senseval2.d000.s028.t007	1) a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or
senseval2.d000.s028.t008	Among the given definitions, the most suitable one that identifies the meaning of "swing" in the given sentence is:2)
senseval2.d000.s028.t009	1) in an uncontrolled manner
senseval2.d000.s028.t010	2) constituting the full quantity or extent; complete
senseval2.d000.s028.t011	4) a measure for arcs and angles
senseval2.d000.s028.t012	2) set in motion, cause to startThis definition captures the idea of initiating or causing something to begin, which is
senseval2.d000.s028.t013	3) be the end of; be the last or concluding part of.In this sentence, "ending" refers to the
senseval2.d000.s028.t015	1) being in such a position that top and bottom are reversed
senseval2.d000.s028.t016	1) the particular portion of space occupied by something.This definition best fits the context of the sentence, as it describes the
senseval2.d000.s029.t001	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s029.t002	1) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
senseval2.d000.s029.t005	1) cause to move more slowly or operate at a slower rate
senseval2.d000.s029.t006	3) a sweeping blow or stroke.In the context of the sentence, "swing" refers to the motion of a bell
senseval2.d000.s029.t007	10) in truth (often tends to intensify)In this sentence, "so" is used to intensify the meaning
senseval2.d000.s029.t008	1) a hollow device made of metal that makes a ringing sound when struck.This definition is the most suitable because it directly
senseval2.d000.s029.t009	1) exchange or give (something) in exchange for
senseval2.d000.s029.t010	9) the particular portion of space occupied by something
senseval2.d000.s030.t000	1) widely or fully known
senseval2.d000.s030.t002	6) occupy or engage the interest ofThe sentence describes a situation where the story is a part of a larger narrative or
senseval2.d000.s030.t003	2) a place for public (especially Christian) worship.
senseval2.d000.s030.t004	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s030.t005	2) of or relating to the English language.
senseval2.d000.s030.t007	2) to give an account or representation of in words.The word "described" here means to give a written or
senseval2.d000.s030.t008	1) a strong feeling or emotion
senseval2.d000.s030.t009	2) discover or determine the existence, presence, or fact of
senseval2.d000.s030.t010	1) the contentment one feels when one has fulfilled a desire, need, or expectation.This definition most closely aligns
senseval2.d000.s030.t011	1) of or pertaining to or of the nature of mathematics
senseval2.d000.s030.t012	1) the state of being complete and entire; having everything that is needed.This definition fits the context of the sentence,
senseval2.d000.s030.t013	3) relating to or governed by or in accordance with mechanics.This definition is the most suitable because it directly relates to the
senseval2.d000.s030.t014	1) the state of being without a flaw or defect.
senseval2.d000.s031.t000	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s031.t001	1) make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
senseval2.d000.s031.t002	1) (usually followed by `with' or used as a combining form) generously supplied with
senseval2.d000.s031.t003	1) dignified and somber in manner or character and committed to keeping promises.
senseval2.d000.s031.t004	3) come to pass; arrive, as in due course.This definition best fits the context of the sentence, as "
senseval2.d000.s031.t006	2) the prescribed procedure for conducting religious ceremonies.The context of the sentence suggests a formal, ceremonial, and possibly spiritual or
senseval2.d000.s031.t008	1) carry out or perform an action.
senseval2.d000.s032.t000	2) undergo a change or development.In this context, "become" means to develop or change into something, in
senseval2.d000.s032.t002	2) an unhealthy and compulsive preoccupation with something or someone.
senseval2.d000.s032.t003	1) declare to be true or admit the existence or reality or truth of
senseval2.d000.s032.t004	2) a person who has general authority over others.In this context, the word "master" is used to describe Stephanie
senseval2.d000.s032.t007	1) (superlative of `good') having the most positive qualities
senseval2.d000.s032.t008	3) for or pertaining to or composed of women or girls
senseval2.d000.s032.t009	1) a person who rings church bells (as for summoning the concertgoers).
senseval2.d000.s033.t000	1) a strong feeling or emotion
senseval2.d000.s033.t002	3) dwellIn the sentence "It is a passion that usually stays in the tower, however," the word "st
senseval2.d000.s033.t003	1) a structure taller than its diameter; can stand alone or be attached to a larger building.This definition best matches the
senseval2.d000.s033.t004	2) by contrast; on the other hand
senseval2.d000.s034.t000	2) comparative of much; to a greater degree or extent.
senseval2.d000.s034.t001	3) in many cases or instances.The word "often" is used to indicate that something happens frequently or frequently enough to
senseval2.d000.s034.t002	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s034.t003	6) choose in one's mindThe sentence suggests that the speaker is mentally considering or imagining the church as something stuck on
senseval2.d000.s034.t004	2) a place for public (especially Christian) worship.
senseval2.d000.s034.t006	1) the lower side of anything
senseval2.d000.s035.t001	1) come or bring to a finish or an end
senseval2.d000.s035.t002	2) developThe phrase "worked up" is an idiomatic expression that means to become excited, exhausted, or overhe
senseval2.d000.s035.t003	4) use of physical or mental energy; hard work.In this context, "worked up a sweat" means to have
senseval2.d000.s035.t004	3) a contestant entered in a competition under false pretenses.This definition fits the context of the sentence, as "r
senseval2.d000.s035.t005	2) frequently or in great quantities.In this context, "often" is used to indicate that ringer's usually or
senseval2.d000.s035.t006	2) intentionally fail to attend.In the sentence, "ringers" are leaving the scene (i.e., they are
senseval2.d000.s035.t007	2) of or belonging to or characteristic of a particular locality or neighborhood.This definition best fits the context of the sentence,
senseval2.d000.s035.t009	The most suitable dictionary definition for the meaning of "leaving" in the sentence is:1) go away from a place
senseval2.d000.s035.t010	2) a feeling of profound love and admiration.In this sentence, "worship" is used as a noun to refer
senseval2.d000.s035.t011	1) in or to a place that is lower
senseval2.d000.s036.t000	4) (used for emphasis or as an intensifier) entirely or fully.The sentence "This does not sit well with
senseval2.d000.s037.t000	1) the body of members of an organization or group.
senseval2.d000.s037.t002	1) at a steady rate or pace
senseval2.d000.s037.t005	3) (Church of England) a clergyman appointed to act as priest of a parish.
senseval2.d000.s037.t006	9) exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a
senseval2.d000.s037.t007	2) in equal amounts or shares; in a balanced or impartial way.In the sentence, "equally" is used
senseval2.d000.s037.t009	3) in many cases or instances.The word "often" is used here to indicate that ringers are not always required
senseval2.d000.s037.t010	1) a person who rings church bells (as for summoning the congregation).This definition fits the context of the sentence,
senseval2.d000.s037.t011	1) be present at (meetings, church services, university), etc.
senseval2.d000.s037.t012	13) the act of delivering a writ or summons upon someone.In the given sentence, "services" refers to the act
senseval2.d000.s038.t000	1) a period of time containing 365 (or 366) days
senseval2.d000.s038.t002	3) (Church of England) a clergyman appointed to act as priest of a parish.In this context, a vic
senseval2.d000.s038.t003	2) enter or assume a certain state or condition.In the given sentence, "got" is used as the past tense
senseval2.d000.s038.t004	10) in truth (often tends to intensify)The sentence "Two years ago, the Rev. Jeremy Hummerstone
senseval2.d000.s038.t005	1) a person who rings church bells (as for summoning the congregation).This definition is the most suitable because it directly
senseval2.d000.s038.t006	1) be present at (meetings, church services, university), etc.This definition fits the context of the sentence,
senseval2.d000.s038.t007	3) the act of public worship following prescribed rules.
senseval2.d000.s038.t008	2) terminate the employment of; discharge from an office or position.In this sentence, "sacked" means to be
senseval2.d000.s038.t009	1) constituting the full quantity or extent; complete.This definition best fits the context of the sentence, as "ent
senseval2.d000.s038.t011	1) a person who rings church bells (as for summoning the congregation).This definition fits the context of the sentence,
senseval2.d000.s038.t012	3) at once (usually modifies an undesirable occurrence)This definition is the most suitable because the word "promptly" is
senseval2.d000.s038.t015	2) the act of protesting; a public (often organized) manifestation of dissent.This definition is the most suitable for the
senseval2.d000.s039.t000	2) a formal association of people with similar interests.This definition is the most suitable for the sentence as it describes a group
senseval2.d000.s039.t001	2) subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a
senseval2.d000.s039.t002	1) a structure taller than its diameter; can stand alone or be attached to a larger building.This definition is the most
senseval2.d000.s039.t003	1) a category of things distinguished by some common characteristic or quality.
senseval2.d000.s039.t004	1) independent; not united or joint.
senseval2.d000.s039.t006	6) speak, pronounce, or utter in a certain way.In this sentence, the word "says" is a verb
senseval2.d000.s040.t000	1) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d000.s040.t002	2) the day that includes the present moment (as opposed to yesterday or tomorrow).
senseval2.d000.s040.t003	1) one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d000.s040.t004	1) a group of people who adhere to a common faith and habitually attend a given church
senseval2.d000.s041.t000	1) with reference to action or condition; without change, interruption, or cessation.This definition fits the context of the sentence
senseval2.d000.s041.t002	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s041.t003	3) make (bells) ring, often for the purposes of musical edification
senseval2.d000.s041.t005	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s042.t000	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s042.t002	1) marked by absence of sound
senseval2.d000.s042.t003	The most suitable dictionary definition for "following" in the given sentence is:6) come after in time, as a result
senseval2.d000.s042.t005	2) a place for public (especially Christian) worship
senseval2.d000.s043.t000	3) (Church of England) a clergyman appointed to act as priest of a parish.In this context, the sentence
senseval2.d000.s043.t001	2) refuse to accept.In the given sentence, "refuses to talk about it" means that Vicar Jones is
senseval2.d000.s043.t002	Both definitions 1 and 2 are suitable, but I would choose definition 2) discuss or mention.In the given
senseval2.d000.s043.t003	6) speak, pronounce, or utter in a certain way.In this context, "saying" refers to the act
senseval2.d000.s044.t000	3) (Church of England) a clergyman appointed to act as priest of a parish.This definition best fits the context
senseval2.d000.s044.t002	2) a place for public (especially Christian) worship
senseval2.d000.s044.t003	1) undergo an emotional sensation or be in a particular state of mind
senseval2.d000.s044.t004	6) responsibility for a bad situation or event.In this context, "fault" is referring to the person or people responsible
senseval2.d000.s044.t008	2) nearest in space or position; immediately adjoining without intervening space.
senseval2.d000.s044.t009	2) a raised structure on which gifts or sacrifices to a god are made.This definition is more general and inclusive of the
senseval2.d000.s045.t000	10) in truth (often tends to intensify)This definition is the most suitable because the sentence is using "So"
senseval2.d000.s045.t007	1) in or at this place; where the speaker or writer is.
senseval2.d000.s045.t008	1) move toward, travel toward something or somebody or approach something or somebody.
senseval2.d000.s045.t009	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s045.t010	2) in or to a place that is higher.
senseval2.d000.s045.t011	The most suitable dictionary definition which identifies the meaning of "making" among the given options is:3) make or cause to
senseval2.d000.s045.t012	2) precisely so
senseval2.d000.s045.t014	1) an opening that permits escape or release
senseval2.d000.s045.t015	1) a group of people who adhere to a common faith and habitually attend a given church
