senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval2.d000.s011.t000	Occurring in only one case or degree; as in: "an even number."
senseval2.d000.s011.t001	A religious ceremony or act of worship, especially in a Christian context.
senseval2.d000.s011.t002	A tall, narrow building or structure, typically one with a spire or cupola, that is often used as a bell
senseval2.d000.s011.t003	To make a sound by rubbing or dragging a hard object against a surface.
senseval2.d000.s011.t004	Indicates that the following words are spoken by a particular person or group of people.
senseval2.d000.s011.t006	A person who is employed to perform a particular job, especially a manual or industrial job.
senseval2.d000.s012.t000	Attempted to do something, especially something that proves difficult.
senseval2.d000.s012.t001	To teach (someone) a particular skill or type of behavior through instruction and practice.
senseval2.d000.s012.t003	A nightclub or dance club where recorded music is played for people to dance to.
senseval2.d000.s012.t004	Social gatherings at which people dance, typically held in a nightclub or at a party.
senseval2.d000.s012.t005	Used to emphasize the exactness or completeness of an action or situation.
senseval2.d000.s012.t006	To move slowly and aimlessly in a fluid or through the air; to be carried along by currents or winds.
senseval2.d000.s012.t007	From a particular place or person; off or no longer in contact or communication: "she walked away from the crowd."
senseval2.d000.s013.t000	Feeling anxious or concerned about a potential problem or something that may happen.
senseval2.d000.s013.t003	A young person, especially a young man or boy.
senseval2.d000.s013.t005	A group of people or things arranged in a line or formation, especially in a military context.
senseval2.d000.s013.t006	A number of people or things that are located, gathered, or classed together.
senseval2.d000.s013.t007	To continue to have or maintain (something), especially in existence or operation.
senseval2.d000.s013.t008	A hollow, usually cup-shaped, metal instrument that produces a ringing sound when struck, typically used in churches or as a signal
senseval2.d000.s014.t000	The study of past events, particularly in human affairs.
senseval2.d000.s014.t001	A position or standpoint in a debate, argument, or conflict.
senseval2.d000.s015.t001	A survey is a method of gathering information from a sample of individuals, typically by asking questions, to gain insights or data on
senseval2.d000.s015.t002	Past participle of take; used to indicate that an action was performed in the past, often with reference to a specific time
senseval2.d000.s015.t003	A period of twelve months, reckoned from a specified date.
senseval2.d000.s015.t007	A building used for public Christian worship, typically having a steeple and a bell or bells.
senseval2.d000.s015.t008	A hollow, usually cup-shaped metal instrument that produces a ringing sound when struck, typically used as a signal or ornament.
senseval2.d000.s015.t009	Not; not at all; not even.
senseval2.d000.s015.t011	To cause (a bell or gong) to vibrate by striking it with a clapper or hammer.
senseval2.d000.s015.t012	The day of the week that follows Saturday and precedes Monday, observed as a day of rest, worship, and other activities
senseval2.d000.s015.t013	To cause a bell or other resonant object to vibrate and produce a musical sound by striking it with a clapper or
senseval2.d000.s016.t000	Not difficult to do, understand, or deal with.
senseval2.d000.s016.t001	To perceive with the eyes; to observe or notice.
senseval2.d000.s016.t002	Extremely old, belonging to the very distant past and no longer in existence.
senseval2.d000.s016.t003	The expression of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated
senseval2.d000.s017.t000	Of a thing or situation: to a smaller degree or extent; not as much.
senseval2.d000.s017.t002	A particular form or variant of something, especially one that is modified from an original or standard form.
senseval2.d000.s017.t003	Engaging in an activity or sport, especially one that involves skill or artistry.
senseval2.d000.s017.t004	A short sequence of musical notes that is perceived as a single entity; a melody.
senseval2.d000.s017.t005	A hollow, cup-shaped metal instrument that produces a ringing sound when struck, typically used in musical ensembles or as a time
senseval2.d000.s017.t007	Of or relating to the countries of mainland Europe, as opposed to the British Isles or other islands.
senseval2.d000.s017.t008	A continent entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere, surrounded by the Arctic Ocean to the north, the Atlantic
senseval2.d000.s017.t009	Regarded, thought of, or treated in a specified way.
senseval2.d000.s017.t010	The people of England, collectively or individually.
senseval2.d000.s017.t012	Suitable or appropriate for a particular person, purpose, or situation.
senseval2.d000.s017.t013	Exclusively; merely; nothing else.
senseval2.d000.s017.t014	A person from another country or nation, especially one who is not a citizen or national of the country in which they are currently
senseval2.d000.s018.t002	The people of England, collectively or individually.
senseval2.d000.s018.t003	To have first made or created (something), especially something new or original.
senseval2.d000.s018.t004	A period of 365 days, divided into 12 months, during which the Earth completes one revolution around the Sun.
senseval2.d000.s018.t006	To need (something) in order to achieve or do something: "the job requires a great deal of patience."
senseval2.d000.s018.t007	Of or relating to the body as opposed to the mind; involving bodily activity or sensation.
senseval2.d000.s018.t009	A hollow, usually cup-shaped, metal object that makes a ringing sound when struck, typically used in churches to call people to
senseval2.d000.s018.t010	To have a particular weight; to be heavy.
senseval2.d000.s018.t014	Of great strength or force; extreme; very great or strong in degree, force, or effect.
senseval2.d000.s018.t015	Of or relating to the mind or intellect; cognitive.
senseval2.d000.s018.t016	The action or power of focusing one's attention or mental effort on a particular object, person, or activity.
senseval2.d000.s019.t000	Of or relating to England or its people, language, or culture.
senseval2.d000.s019.t001	A hollow, usually cup-shaped, metal instrument that produces a ringing sound when struck, typically used in churches to call people to
senseval2.d000.s019.t003	A sequence of musical notes or chords played in succession, often in a repetitive pattern.
senseval2.d000.s019.t004	Producing a sound of the greatest frequency per second, perceived as the greatest in tone or shrillness.
senseval2.d000.s019.t005	A hollow, usually cup-shaped, metal object that makes a ringing sound when struck, typically used as a musical instrument or a
senseval2.d000.s019.t006	Of or belonging to the bottom in position, level, or degree; at the bottom; beneath; as low as possible;
senseval2.d000.s019.t007	Easily understood or explained; not complicated or involved.
senseval2.d000.s019.t009	A series of musical notes ordered by fundamental frequency or pitch, typically ascending or descending in pitch.
senseval2.d000.s019.t010	The action or process of employing something or someone for a particular purpose.
senseval2.d000.s019.t012	A building used for public Christian worship, typically having a steeple and a bell or bells.
senseval2.d000.s019.t014	A hollow, usually cup-shaped, metal instrument that produces a ringing sound when struck, typically used in churches to call people to
senseval2.d000.s020.t000	Used to introduce a statement that is a consequence or result of something mentioned previously.
senseval2.d000.s020.t001	An action, event, or object that serves as an indication or warning of something else.
senseval2.d000.s020.t002	Persons who ring bells, especially in a bell tower or church.
senseval2.d000.s020.t003	To start to do something.
senseval2.d000.s020.t004	Making or becoming different; altering; changing.
senseval2.d000.s020.t005	The arrangement or sequence in which related things follow each other or are placed.
senseval2.d000.s020.t006	A hollow, cup-shaped metal object that produces a ringing sound when struck, typically used as a musical instrument or a signal.
senseval2.d000.s020.t007	To make a noise, especially a loud one.
senseval2.d000.s020.t008	To change or modify something, especially in a way that affects its appearance, character, or function.
senseval2.d000.s020.t009	Not changing or varying; constant or unchanging in amount or quality.
senseval2.d000.s020.t010	A strong, regular, repeated pattern of movement or sound.
senseval2.d000.s020.t011	The action of hitting or being hit with force; a blow or impact.
senseval2.d000.s021.t000	A thing that differs in form from other things of a similar kind, typically due to minor differences in their characteristics or qualities.
senseval2.d000.s021.t002	To happen, take place, or come to pass, especially at a particular time or in a particular place.
senseval2.d000.s021.t003	Exclusively; nothing else; not anything else.
senseval2.d000.s021.t004	At one time; on one occasion; not more than one time.
senseval2.d000.s021.t005	A principle or regulation governing conduct within a particular activity or sphere.
senseval2.d000.s021.t006	A fact or condition as it actually exists, especially one regarded as worthy of attention.
senseval2.d000.s022.t000	Participants in the sport of bell ringing, also known as change ringing, who learn and perform complex sequences of bell changes.
senseval2.d000.s022.t005	A prescribed procedure for accomplishing or approaching something, especially a systematic or established one.
senseval2.d000.s022.t006	Words or terms by which a person, animal, place, or thing is known, addressed, or referred to; a word
senseval2.d000.s023.t000	A number of things or events of a similar kind that follow one after another.
senseval2.d000.s023.t003	To require or consume (a specified or implied amount of time, money, or effort) for completion or occurrence.
senseval2.d000.s023.t004	Of an approximate amount, number, or degree; nearly; more or less.
senseval2.d000.s023.t005	A unit of time equal to 60 minutes or 3,600 seconds, typically used to measure the duration of events or
senseval2.d000.s024.t000	To direct one's gaze toward something; to observe or examine visually.
senseval2.d000.s024.t002	The period from sunset to sunrise when it is dark.
senseval2.d000.s024.t003	The customary or habitual way of doing something, especially one that is not done for a specific purpose or with a specific goal in
senseval2.d000.s024.t004	A building used for public Christian worship, typically having a nave, aisles, and an altar.
senseval2.d000.s024.t006	To cause (something) to happen or exist; to produce or result in.
senseval2.d000.s024.t007	A thought or suggestion as to a possible course of action.
senseval2.d000.s024.t008	Effort or activity directed towards the production or accomplishment of something; tasks or duties that require time and energy.
senseval2.d000.s024.t009	Engaging much time, attention, or effort; requiring a lot of work or activity.
senseval2.d000.s025.t000	A member of a group of people who ring bells, especially in a church.
senseval2.d000.s025.t001	To be in or assume an upright position on the feet.
senseval2.d000.s025.t002	A round plane figure whose boundary (the circumference) consists of points equidistant from a fixed point (the center).
senseval2.d000.s025.t003	The lower extremity of the leg below the ankle, on which a person stands or walks.
senseval2.d000.s025.t004	In or to a forward position; before in time or order.
senseval2.d000.s025.t006	A position or posture assumed by a person, especially in order to display a particular attitude or to perform a specific action.
senseval2.d000.s025.t007	Exerting force on (something) in order to move it toward oneself or in a desired direction.
senseval2.d000.s025.t008	A thick cord of twisted or braided strands of fiber, wire, or the like, used for fastening, binding,
senseval2.d000.s025.t009	Of a size that is less than normal or usual for something of a particular kind; not large.
senseval2.d000.s025.t010	An opening or gap, especially in a surface or structure, through which something can pass or be inserted.
senseval2.d000.s025.t011	At a great vertical extent or distance above the ground or floor; elevated.
senseval2.d000.s025.t012	The upper interior surface of a room.
senseval2.d000.s025.t013	A room or enclosed space, especially one that is part of a larger structure.
senseval2.d000.s026.t000	To utter words in order to express thoughts, feelings, or information.
senseval2.d000.s026.t002	A length of strong cord made by twisting together strands of natural fibers, synthetic fibers, or both, used for tying, fast
senseval2.d000.s026.t003	Appear or give the impression of being something, especially through only partial evidence or without complete information.
senseval2.d000.s026.t004	To produce (a sound, light, or other effect) as a result of an action or process.
senseval2.d000.s026.t006	A thing that is heard, produced by vibrations that travel through the air or another medium to the ear.
senseval2.d000.s026.t007	A hollow, usually cup-shaped, resonant instrument of metal or other hard material, typically hung in a tower or stee
senseval2.d000.s026.t008	Made to sound less loud or clear, especially by being wrapped in cloth or by being in a confined space.
senseval2.d000.s026.t009	The upper interior surface of a room.
senseval2.d000.s027.t001	Fully engaged or occupied with a task or activity to the exclusion of other things.
senseval2.d000.s027.t002	A member of a group of people who ring bells, especially in a church tower.
senseval2.d000.s027.t003	To look fixedly or vacantly at someone or something with one's eyes wide open.
senseval2.d000.s027.t004	Extending or directed uniformly in one direction only; not curved or bent.
senseval2.d000.s027.t005	In or facing the direction in which one is moving or looking; forward.
senseval2.d000.s027.t006	Employing or applying (a means, method, or substance) for a particular purpose.
senseval2.d000.s027.t008	To give a name to (something) or to refer to (something) by a particular name.
senseval2.d000.s027.t009	To observe carefully, especially to keep a continuous vigilant or scrutinizing gaze on (someone or something).
senseval2.d000.s027.t010	In addition to (used to introduce one or more people or things that are also the subject of a statement): "They were
senseval2.d000.s027.t011	Cords of twisted or braided strands of fiber, wire, or the like, used for fastening, binding, or
senseval2.d000.s027.t012	Therefore; in that way; as a result.
senseval2.d000.s027.t013	To measure or estimate the duration, sequence, or simultaneity of events (as by using a clock, watch, or
senseval2.d000.s027.t014	An action of exerting force on something in order to move it towards oneself or away from something else.
senseval2.d000.s028.t000	At or to a great distance in space or time; by or from a long way off.
senseval2.d000.s028.t001	At a higher level or layer; over or on top of.
senseval2.d000.s028.t004	A metal alloy consisting primarily of copper, usually with tin as the main additive and often with the addition of other metals (such
senseval2.d000.s028.t005	A hollow, usually cup-shaped instrument of metal or other hard material, typically having a clapper inside, that produces a ringing
senseval2.d000.s028.t006	To be fixed or attached firmly to something, typically in a way that allows movement.
senseval2.d000.s028.t007	A circular object that revolves on an axle and is fixed beneath a vehicle or other object and on which it moves.
senseval2.d000.s028.t008	To move or cause to move back and forth or from side to side while suspended from a fixed point.
senseval2.d000.s028.t009	In an excited, frenzied, or uncontrolled manner.
senseval2.d000.s028.t010	Complete or entire in extent, amount, or degree.
senseval2.d000.s028.t011	A unit of measurement of an angle, defined as 1/360 of a full rotation.
senseval2.d000.s028.t012	The action or process of beginning to do something or of coming into existence.
senseval2.d000.s028.t013	The final part or stage of a process, period, or activity.
senseval2.d000.s028.t015	Positioned upside down or turned so that the upper part is below the lower part.
senseval2.d000.s028.t016	The place where someone or something is or is likely to be found; location.
senseval2.d000.s029.t001	Persons who ring bells, especially as a sport or art, involving the swinging of bells in a bell tower or on a mobile
senseval2.d000.s029.t002	To employ for some purpose; put into service; utilize.
senseval2.d000.s029.t005	To delay or cause to proceed more slowly.
senseval2.d000.s029.t006	A movement back and forth or in a circle around a central point or axis.
senseval2.d000.s029.t007	Used to introduce a word or phrase that explains the result of the action of the verb or the situation described in the preceding clause
senseval2.d000.s029.t008	A hollow, usually cup-shaped, metal object that makes a ringing sound when struck, typically used as a musical instrument or a
senseval2.d000.s029.t009	To exchange places or positions with another person or thing.
senseval2.d000.s029.t010	A position or location, especially in a sequence or arrangement.
senseval2.d000.s030.t000	Generally recognized and familiar to many people; widely known or acknowledged.
senseval2.d000.s030.t002	Containing or having as a part or element; including.
senseval2.d000.s030.t003	A building used for public Christian worship, typically having a steeple and a bell or bells.
senseval2.d000.s030.t004	A hollow, usually cup-shaped, metal object that makes a ringing sound when struck, typically used as a musical instrument or a
senseval2.d000.s030.t005	Of or relating to England or its people, language, or culture.
senseval2.d000.s030.t007	To give an account of (someone or something) in words; portray or represent in speech or writing.
senseval2.d000.s030.t008	A strong and barely controllable emotion.
senseval2.d000.s030.t009	Discover or perceive (something) by chance or unexpectedly; come across.
senseval2.d000.s030.t010	A feeling of pleasure or contentment that comes from fulfilling one's desires or needs.
senseval2.d000.s030.t011	Of or relating to mathematics; based on or using mathematical principles or methods.
senseval2.d000.s030.t012	The quality or state of being whole, entire, or complete; having all the necessary or appropriate parts.
senseval2.d000.s030.t013	Of, relating to, or operated by machinery or machines.
senseval2.d000.s030.t014	The quality, condition, or degree that makes something as good or as effective as possible; the state or quality of being perfect
senseval2.d000.s031.t000	A person who performs a particular task or role, especially one that is skilled or experienced in that area.
senseval2.d000.s031.t001	Used to introduce a statement that is supplementary to or reinforces a previous statement.
senseval2.d000.s031.t002	To be full of or contain (a specified quality, feeling, or substance).
senseval2.d000.s031.t003	Formal and dignified in manner, appearance, or speech; not cheerful or smiling.
senseval2.d000.s031.t004	Presents itself or is experienced; happens or occurs.
senseval2.d000.s031.t006	A sequence of activities involving gestures, words, and objects, performed in a sequestered place, and according to a set
senseval2.d000.s031.t008	Carried out, executed, or accomplished (a task, action, function, etc.).
senseval2.d000.s032.t000	To begin to be or to start to be in a specified state or condition.
senseval2.d000.s032.t002	A persistent preoccupation with something, especially one that is unhealthy or interferes with one's life.
senseval2.d000.s032.t003	Confesses or acknowledges (something, typically something unpleasant or embarrassing).
senseval2.d000.s032.t004	The person in charge of a group of people or an organization, especially in a church or school.
senseval2.d000.s032.t007	Of the highest quality or degree; superior to all others in excellence or skill.
senseval2.d000.s032.t008	Of or belonging to a woman or girls; womanly; feminine.
senseval2.d000.s032.t009	Persons who ring bells, especially as a hobby or in a church bell-ringing group.
senseval2.d000.s033.t000	A strong and barely controllable emotion.
senseval2.d000.s033.t002	Remains in a particular place or condition.
senseval2.d000.s033.t003	A tall, narrow building or structure, typically one that is free-standing and often used for a specific purpose such as a bell
senseval2.d000.s033.t004	But in a different way or to a different degree than expected; on the other hand.
senseval2.d000.s034.t000	In greater number or degree; usually or frequently.
senseval2.d000.s034.t001	At many times; frequently.
senseval2.d000.s034.t002	Persons who ring bells, especially as a sport or hobby.
senseval2.d000.s034.t003	To regard or consider in a specified way; conceive of: to think of someone as a friend.
senseval2.d000.s034.t004	A building used for public Christian worship, typically having a steeple and a bell or bells.
senseval2.d000.s034.t006	The lowest part or surface of something.
senseval2.d000.s035.t001	Having finished or brought to an end.
senseval2.d000.s035.t002	To become excited or agitated about something.
senseval2.d000.s035.t003	Perspiration, especially in large quantities, produced by the body as a result of physical exertion or high temperature.
senseval2.d000.s035.t004	A person who operates a bell in a bell tower or belfry, especially as part of a group of people who ring
senseval2.d000.s035.t005	Used to indicate that something happens frequently or on many occasions.
senseval2.d000.s035.t006	To move lightly and quickly, typically by hopping on one foot or by alternating feet in a lively manner.
senseval2.d000.s035.t007	Of or belonging to a particular area or neighborhood; nearby or in the vicinity.
senseval2.d000.s035.t009	To go away from a place or person; depart.
senseval2.d000.s035.t010	The feeling or expression of reverence and adoration for a deity or deities.
senseval2.d000.s035.t011	At or to a lower level or layer; underneath.
senseval2.d000.s036.t000	In good health; free from illness or injury. (Note: In the context of the sentence, "well" is used
senseval2.d000.s037.t000	The state or fact of being a member of a group, organization, or society.
senseval2.d000.s037.t002	In a consistent and gradual manner over a period of time.
senseval2.d000.s037.t005	A parish priest of the Church of England or Church in Wales.
senseval2.d000.s037.t006	To urge or encourage someone to do something, especially by using authority or influence.
senseval2.d000.s037.t007	To the same degree or extent; just as much.
senseval2.d000.s037.t009	Occurring or appearing in most cases; usually.
senseval2.d000.s037.t010	Persons who ring bells, especially as a voluntary activity in a church.
senseval2.d000.s037.t011	To be present at (a place, event, or function); to go to and take part in.
senseval2.d000.s037.t012	A religious ceremony or act of worship, especially in a Christian context.
senseval2.d000.s038.t000	A period of 365 days, reckoned from the same date in two successive calendar years.
senseval2.d000.s038.t002	A parish priest in the Church of England or the Church in Wales.
senseval2.d000.s038.t003	Obtain (something) as a result of an action, effort, or experience.
senseval2.d000.s038.t004	To such a degree; to such an extent; very much.
senseval2.d000.s038.t005	Persons who ring bells, especially as a voluntary activity in a church or other religious institution.
senseval2.d000.s038.t006	To be present at or go to (a place, especially regularly or as required).
senseval2.d000.s038.t007	A religious ceremony or act of worship, especially in the Christian church.
senseval2.d000.s038.t008	To dismiss someone from a job or position, especially summarily and without warning.
senseval2.d000.s038.t009	All of; the whole number or amount of.
senseval2.d000.s038.t011	Persons who ring bells, especially as a voluntary activity in a church or other religious institution.
senseval2.d000.s038.t012	Acting quickly or without delay.
senseval2.d000.s038.t015	A statement or action expressing disapproval of or objection to something regarded as wrong or unjust.
senseval2.d000.s039.t000	An organization of people with a common interest or purpose, especially a social or recreational one.
senseval2.d000.s039.t001	Behaved toward or regarded in a specified way.
senseval2.d000.s039.t002	A tall, narrow building or structure, typically one with a pointed top and often with a spire, that is usually part
senseval2.d000.s039.t003	Of a thing or person: in a particular way or manner.
senseval2.d000.s039.t004	Apart from or not connected with something else; distinct or different.
senseval2.d000.s039.t006	To speak or utter words, especially as a means of communication or expression.
senseval2.d000.s040.t000	Recently come into existence or use; not old or established.
senseval2.d000.s040.t002	On this day or at this time; at the present time.
senseval2.d000.s040.t003	Individuals belonging to a group, organization, or society, especially as official or active participants.
senseval2.d000.s040.t004	A group of people assembled for religious worship, especially in a church.
senseval2.d000.s041.t000	Despite what has been said or done previously; nevertheless.
senseval2.d000.s041.t002	Persons who ring bells, especially as a sport or art.
senseval2.d000.s041.t003	To make a sound by striking a bell or a similar object with a clapper or hammer.
senseval2.d000.s041.t005	A hollow, usually cup-shaped, resonant instrument of metal or wood, typically having a clapper inside, that produces a
senseval2.d000.s042.t000	A hollow, usually cup-shaped metal instrument that is rung by striking it with a clapper or a hammer, typically used
senseval2.d000.s042.t002	Not making or accompanied by any sound; quiet.
senseval2.d000.s042.t003	Coming after something in time, order, or position.
senseval2.d000.s042.t005	A building used for public Christian worship, typically having a steeple and one or more bells.
senseval2.d000.s043.t000	A member of the clergy in the Church of England or in some other Anglican churches, who is in charge of a parish
senseval2.d000.s043.t001	Decline to do, use, or give; say no to.
senseval2.d000.s043.t002	To speak or converse about something, especially in a public or formal context.
senseval2.d000.s043.t003	The act of expressing something in words or through speech or gestures.
senseval2.d000.s044.t000	A parish priest of the Church of England or Church in Wales, typically the incumbent of a particular parish and responsible for its spiritual
senseval2.d000.s044.t002	A building used for public Christian worship, typically having a steeple and one or more spires.
senseval2.d000.s044.t003	To have a particular opinion or belief about something.
senseval2.d000.s044.t004	A defect or imperfection in something, especially a building or structure.
senseval2.d000.s044.t008	At or to the immediate vicinity of; adjoining or nearby.
senseval2.d000.s044.t009	A table or flat-topped block used as the focus for a religious ritual, especially for making sacrifices or offerings to a deity
senseval2.d000.s045.t000	An introductory word or phrase used to indicate the manner, cause, or degree of something; in this case, it is used
senseval2.d000.s045.t007	Used to indicate the place at which the speaker is, has been, or is about to be: "I'll meet you
senseval2.d000.s045.t008	To approach or move toward (someone or something) in order to meet or join them: "The children came running to greet
senseval2.d000.s045.t009	A person who operates the bells of a church, especially as a member of a religious order.
senseval2.d000.s045.t010	At or to a higher place or level; overhead.
senseval2.d000.s045.t011	Engaging in an action or process; involved in the act of.
senseval2.d000.s045.t012	Of an amount, degree, or extent considerably above the normal or average: a very high temperature.
senseval2.d000.s045.t014	A way out or passage for leaving a place, especially a building or enclosed area.
senseval2.d000.s045.t015	A group of people assembled for religious worship, especially in a church.
senseval2.d000.s045.t016	The solemn act of communicating with a deity or other object of worship, often through words or thoughts, typically involving supplication,
senseval2.d000.s045.t017	Indicates that the following words are spoken by a person or character.
senseval2.d000.s046.t000	Confess or acknowledge (something, especially something that one would prefer to keep hidden).
senseval2.d000.s046.t001	Consisting of or combining different elements or qualities.
senseval2.d000.s046.t002	Emotions or states of mind, especially those that are complex or difficult to describe.
senseval2.d000.s046.t003	A matter or problem under discussion or consideration, especially one that is contentious or difficult to resolve.
senseval2.d000.s046.t004	A member of the clergy in the Church of England or in some other Anglican churches, who is in charge of a parish
senseval2.d000.s046.t005	Engaged in or characterized by energetic and enthusiastic action or participation.
senseval2.d000.s046.t006	A person who rings bells, especially as part of a church service or ceremony.
senseval2.d000.s047.t000	The vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear.
senseval2.d000.s047.t001	A hollow, usually cup-shaped metal instrument that produces a ringing sound when struck, typically used to signal the time or to call
senseval2.d000.s047.t002	To attract or pull someone or something towards oneself or something else, typically in order to gain their interest or support.
