senseval2.d000.s000.t000	A skill or technique acquired by study or practice; a branch of learning or a profession.
senseval2.d000.s005.t010	To produce a loud, sharp, clear, or clear and ringing sound, typically with a sudden or sharp impact.
senseval2.d000.s005.t011	This place, especially the place where the speaker is now.
senseval2.d000.s006.t001	Lacking harmony or consistency; unpleasantly jarring or clashing.
senseval2.d000.s006.t003	A single distinct sound or pitch in music.
senseval2.d000.s006.t005	Feeling or showing pleasure or contentment; delighted.
senseval2.d000.s006.t007	A hollow metal object, typically in the shape of a cup or a cone, used for producing a ringing sound when struck,
senseval2.d000.s006.t008	Having a temperature that is lower than the surrounding environment, typically around or below a comfortable level for humans.
senseval2.d000.s006.t010	The time of day between late afternoon and night, typically including the period around sunset.
senseval2.d000.s007.t000	Used to indicate that something is typical or usual, or that something is greater in number or amount than the others.
senseval2.d000.s007.t001	Different from the one specified or implied.
senseval2.d000.s007.t002	A building for public Christian worship, typically having a tower with bells.
senseval2.d000.s007.t004	A number of things (such as objects, people, or items) that are collected together.
senseval2.d000.s007.t005	A hollow metal object, typically with a clapper, rung or struck to produce a ringing sound, used as a musical
senseval2.d000.s007.t006	At a time in the past; at some time before the present.
senseval2.d000.s007.t009	A person who rings a bell, especially a church bell.
senseval2.d000.s007.t011	The first day of the week, considered a day of rest in many Christian traditions.
senseval2.d000.s007.t012	The first part of the day, between midnight and noon.
senseval2.d000.s007.t013	The latter part of the day, especially the period between late afternoon and nightfall.
senseval2.d000.s007.t014	A regular event, especially a ceremony or a period of work.
senseval2.d000.s008.t000	At the present time; at the moment; at this point.
senseval2.d000.s008.t001	Used to indicate that the person or thing specified is the sole example of its kind.
senseval2.d000.s008.t002	Living or located in a particular place or area; not foreign or distant.
senseval2.d000.s008.t003	A person who is a skilled or expert at a particular sport, especially one who consistently scores more points than others.
senseval2.d000.s008.t004	Things or people that are left after others have been removed or destroyed.
senseval2.d000.s009.t000	In or at this place; in or at the place where the speaker or writer is located.
senseval2.d000.s009.t001	On this day.
senseval2.d000.s009.t002	To reside or dwell in a place.
senseval2.d000.s010.t001	A number of people or things that are together or associated in a particular way.
senseval2.d000.s010.t002	People who operate a bell or bells, especially a bell in a church tower.
senseval2.d000.s010.t003	Used to indicate that something (such as a list of people, things, or facts) is not exhaustive.
senseval2.d000.s010.t006	Preparation or practice for a particular activity or profession, especially one that is intended to improve performance or skills.
senseval2.d000.s010.t007	To propel or control the movement of (a vehicle), typically by turning a wheel or pressing pedals.
senseval2.d000.s010.t008	The first day of the week, considered the day of rest in many Christian traditions.
senseval2.d000.s010.t009	A building for public Christian worship.
senseval2.d000.s010.t010	A building for public Christian worship.
senseval2.d000.s010.t011	A hard work or series of tasks done in order to achieve something.
senseval2.d000.s010.t012	To maintain or preserve (something) in a particular state or condition.
senseval2.d000.s010.t013	A hollow metal object, typically circular or cup-shaped, with a clapper or tongue that strikes it to produce a ringing sound
senseval2.d000.s010.t014	Making a clear, sharp, ringing noise, typically a musical or metallic sound.
senseval2.d000.s011.t000	Even: 1. Also; too.2. (Used to indicate a complete or whole number, especially when counting things
senseval2.d000.s011.t001	An act of doing something to help or benefit someone or something.
senseval2.d000.s011.t002	A tall, narrow structure, typically of stone, brick, or concrete, often used as a landmark or for observation or support
senseval2.d000.s011.t003	To rub or wear away the surface of something, typically by friction, often resulting in a rough or scratched appearance.
senseval2.d000.s011.t004	Indicates that the following words are a quotation or a direct report of what someone has spoken.
senseval2.d000.s011.t006	A person who performs a particular job or function, especially one that involves manual labor or technical skill.
senseval2.d000.s012.t000	Made an effort or attempt, especially one that is not necessarily successful.
senseval2.d000.s012.t001	To teach or instruct someone in a particular skill or activity, especially a complex one, by practice and repetition.
senseval2.d000.s012.t003	A dance party or social gathering, typically with a DJ or a live band, and often with flashing lights and a dance floor
senseval2.d000.s012.t004	A series of movements, steps, and gestures performed to music, typically for aesthetic, social, or ceremonial purposes.
senseval2.d000.s012.t005	Used to indicate that something is happening or is true exactly at the time mentioned.
senseval2.d000.s012.t006	To move slowly and aimlessly in a particular direction, especially because of a gentle current of air or water; to move or
senseval2.d000.s012.t007	Moving or situated at a distance, especially to a place that is not specified; not here or nearby.
senseval2.d000.s013.t000	To feel anxious or uneasy about something.
senseval2.d000.s013.t003	Young people, especially those between childhood and adulthood.
senseval2.d000.s013.t005	A line of people, especially soldiers, arranged one behind the other; a group of people of the same status or level,
senseval2.d000.s013.t006	A number of people or things with a shared characteristic or purpose.
senseval2.d000.s013.t007	To maintain or preserve something in a particular state; to cause to continue in a particular condition.
senseval2.d000.s013.t008	A hollow metallic object (usually in the shape of a cup or a bowl) with a clapper or other movable part that
senseval2.d000.s014.t000	A record of past events and experiences, especially in a particular country or region, or in a particular field or activity.
senseval2.d000.s014.t001	The surface of an object, especially one that is flat and parallel to the horizon, or the direction or aspect of something.
senseval2.d000.s015.t001	A systematic collection of data through questioning a sample of people, typically by telephone, mail, or in person.
senseval2.d000.s015.t002	Conducted or carried out, especially in order to gather information or data.
senseval2.d000.s015.t003	A period of 365 days (or 366 in leap years).
senseval2.d000.s015.t007	A building for public Christian worship.
senseval2.d000.s015.t008	A hollow metal object that makes a ringing sound when struck or struck by a clapper.
senseval2.d000.s015.t009	Used to indicate the absence of something or the refusal of a request.
senseval2.d000.s015.t011	To make (a bell) produce a clear, resonant sound by turning a rope or handle that swings the clapper.
senseval2.d000.s015.t012	The first day of the week, being the day after Saturday.
senseval2.d000.s015.t013	To make a clear, ringing sound by striking or vibrating.
senseval2.d000.s016.t000	Not difficult; requiring little effort or skill.
senseval2.d000.s016.t001	To perceive with one's eyes or by the mind's eye; become aware of through the senses or the mind.
senseval2.d000.s016.t002	Very old; belonging to the remote past.
senseval2.d000.s016.t003	The expression of something in a way that is skillfully original and imaginative.
senseval2.d000.s017.t000	Comparatively small in amount, extent, or degree.
senseval2.d000.s017.t002	A particular form or representation of something, especially a book, movie, or musical work, that differs from other forms in some
senseval2.d000.s017.t003	To perform or produce music by operating or manipulating a musical instrument.
senseval2.d000.s017.t004	A short melody or succession of notes.
senseval2.d000.s017.t005	A hollow metal object that makes a ringing sound when struck, typically suspended from a frame or a building.
senseval2.d000.s017.t007	Extending or located on the mainland of a continent, especially as opposed to an island or an insular region.
senseval2.d000.s017.t008	A continent in the northern hemisphere, separated from Asia by the Ural Mountains.
senseval2.d000.s017.t009	Thought of or regarded in a particular way.
senseval2.d000.s017.t010	Pertaining to England or its people.
senseval2.d000.s017.t012	Suitable or appropriate for a particular purpose or situation.
senseval2.d000.s017.t013	Used to indicate the single or sole instance or case of something.
senseval2.d000.s017.t014	People who are not native to a particular country or region.
senseval2.d000.s018.t002	A person from England or of English descent; a native or inhabitant of England.
senseval2.d000.s018.t003	To create or design (something) as a new device, system, or method, typically by using the imagination and applying knowledge
senseval2.d000.s018.t004	A unit of time, equal to 365 days in a non-leap year, or 366 days in a leap year
senseval2.d000.s018.t006	Needs something in order to exist, happen, or be done.
senseval2.d000.s018.t007	Concerned with the body or its functions; relating to the senses or bodily experiences.
senseval2.d000.s018.t009	A hollow metal vessel, typically of a bell shape, rung by a clapper to produce a ringing sound.
senseval2.d000.s018.t010	To have a weight or a specified weight.
senseval2.d000.s018.t014	Having a strong and powerful quality; extreme.
senseval2.d000.s018.t015	Relating to or consisting of the mind, including the processes of thinking, reasoning, and feeling.
senseval2.d000.s018.t016	The state of being completely focused on something.
senseval2.d000.s019.t000	Of, pertaining to, or characteristic of England or its people, language, or culture.
senseval2.d000.s019.t001	A hollow metal object, typically with a clapper, that is rung to produce a ringing sound.
senseval2.d000.s019.t003	A sequence of notes played in ascending or descending order, especially a series of musical notes played in a regular pattern.
senseval2.d000.s019.t004	Having the highest pitch, or the highest sound.
senseval2.d000.s019.t005	A hollow metallic object, typically circular in shape, rung to produce a clear, resonant sound.
senseval2.d000.s019.t006	The point or degree that is farthest down in a series or sequence.
senseval2.d000.s019.t007	Lacking in complexity or sophistication; uncomplicated.
senseval2.d000.s019.t009	A series of musical notes of consecutive pitches in order of their frequencies.
senseval2.d000.s019.t010	To employ or make use of something, typically for a particular purpose.
senseval2.d000.s019.t012	A building for public worship, especially a Christian one.
senseval2.d000.s019.t014	A hollow metal object, typically cylindrical in shape, with a clapper or other mechanism inside that strikes against it to produce a
senseval2.d000.s020.t000	Next in time or order.
senseval2.d000.s020.t001	A signal is a message, instruction, or warning given or received.
senseval2.d000.s020.t002	People who operate a set of bells, typically by pulling ropes to make them sound.
senseval2.d000.s020.t003	To take the first step or start in an action, process, or course of action.
senseval2.d000.s020.t004	Changing or differing in some way, especially by small amounts, from one thing to another.
senseval2.d000.s020.t005	A systematic arrangement of things in a particular sequence or pattern.
senseval2.d000.s020.t006	A hollow metal object with a clapper that produces a ringing sound when struck.
senseval2.d000.s020.t007	A noise or a particular type of noise made by a bell.
senseval2.d000.s020.t008	To change or modify something, often in a way that makes it different from what it was before.
senseval2.d000.s020.t009	Continuing at a uniform rate or pace without change or interruption.
senseval2.d000.s020.t010	A pattern of sounds or movements repeated at regular intervals.
senseval2.d000.s020.t011	The act of hitting or ringing something, especially a bell.
senseval2.d000.s021.t000	A change in form, function, or appearance that is different from the original.
senseval2.d000.s021.t002	To happen or take place.
senseval2.d000.s021.t003	Used to indicate that the amount or extent specified is the smallest or least possible.
senseval2.d000.s021.t004	Only one time; a single instance or occasion.
senseval2.d000.s021.t005	A set of explicit or understood regulations or principles governing a particular activity or situation.
senseval2.d000.s021.t006	A set of facts or information given about something, or a declaration or announcement made about something.
senseval2.d000.s022.t000	People who ring bells, especially in a church.
senseval2.d000.s022.t005	A particular procedure or technique for doing something, especially a systematic way of solving a problem.
senseval2.d000.s022.t006	Words or terms by which a person, place, or thing is designated or known.
senseval2.d000.s023.t000	A set of things (as numbers, events, or objects) that follow each other in order.
senseval2.d000.s023.t003	To require a specified amount of time, or to last for a specified amount of time.
senseval2.d000.s023.t004	Approximately or roughly.
senseval2.d000.s023.t005	A unit of time equal to 60 minutes or 3,600 seconds.
senseval2.d000.s024.t000	A glance or brief inspection of something, especially in order to gain an impression or understanding.
senseval2.d000.s024.t002	The period of darkness between sunset and sunrise.
senseval2.d000.s024.t003	A particular activity or occupation engaged in regularly, especially one that is done in order to improve a skill.
senseval2.d000.s024.t004	A building for public worship or some other Christian purpose.
senseval2.d000.s024.t006	To provide or afford; to supply or offer something, such as information, help, or an idea.
senseval2.d000.s024.t007	A thought or notion formed in the mind about something, or a mental image or concept of something.
senseval2.d000.s024.t008	Effort or activity directed to achieve a goal or result.
senseval2.d000.s024.t009	Having a share or a part in something, especially in its planning or execution.
senseval2.d000.s025.t000	A person, especially a professional, who is brought in to participate in a competition, game, or contest, often in place
senseval2.d000.s025.t001	To be in an upright position with feet firmly on the ground.
senseval2.d000.s025.t002	A round shape or ring of things (such as people or objects) that are all roughly equally distant from a central point.
senseval2.d000.s025.t003	The lower extremity of the leg, typically consisting of the tarsal bones, metatarsal bones, and phal
senseval2.d000.s025.t004	In front of something or someone in a position of being closer to the front.
senseval2.d000.s025.t006	A position or posture, especially one that is characteristic or typical of a person or group.
senseval2.d000.s025.t007	Exerting force to draw or move something towards oneself.
senseval2.d000.s025.t008	A length of cord or string, typically made of twisted fibers, used for binding, lifting, pulling, or fastening.
senseval2.d000.s025.t009	Not very large in size or amount.
senseval2.d000.s025.t010	A small opening or gap in a surface, typically circular or oval in shape.
senseval2.d000.s025.t011	Located at or toward the top; above the middle or ground level.
senseval2.d000.s025.t012	The upper inside surface of a room, typically forming the top of a hollow space.
senseval2.d000.s025.t013	A room or space in a building, especially one that serves a particular purpose.
senseval2.d000.s026.t000	To make a sound, typically with the vocal cords.
senseval2.d000.s026.t002	A length of cord or yarn, especially one made of twisted fibers, used for binding, pulling, or fastening.
senseval2.d000.s026.t003	To give the impression of being something, or to appear to be something, but not necessarily actually being it.
senseval2.d000.s026.t004	To produce a sound.
senseval2.d000.s026.t006	A noise or a vibration that is perceived by the ear.
senseval2.d000.s026.t007	A hollow metal object, typically made of a single piece of metal, that is shaped to produce a ringing sound when struck or
senseval2.d000.s026.t008	Reduced or deadened in sound, often by some intervening substance or structure.
senseval2.d000.s026.t009	The upper inside surface (as of a room, hallway, or other structure) that is usually covered with a material such as
senseval2.d000.s027.t001	Completely engrossed or preoccupied in an activity.
senseval2.d000.s027.t002	A person, especially a person who is not a regular member, but is brought in to participate in a competition, game,
senseval2.d000.s027.t003	To look fixedly and steadily at something, often in a way that is intense or unblinking.
senseval2.d000.s027.t004	In a direct line, without bending or curving.
senseval2.d000.s027.t005	In a forward position, in the direction of movement or progress.
senseval2.d000.s027.t006	To employ or make use of something, typically for a particular purpose.
senseval2.d000.s027.t008	To give a name or title to something; to designate or name something officially or informally; to refer to something by a
senseval2.d000.s027.t009	To observe or keep track of something, often carefully or continuously.
senseval2.d000.s027.t010	Different from the one(s) being referred to or discussed.
senseval2.d000.s027.t011	Long, thick, often knotted cord or fiber, typically made of yarn, used for binding, pulling, or lifting.
senseval2.d000.s027.t012	Used to indicate that what follows is a logical consequence or result of what has been said.
senseval2.d000.s027.t013	A point or interval in a sequence or scale of measurement.
senseval2.d000.s027.t014	A sudden, forceful movement of the hands or arms, typically to lift or move something.
senseval2.d000.s028.t000	At a great distance; a long way off.
senseval2.d000.s028.t001	Located in a higher position or level, either physically or relatively.
senseval2.d000.s028.t004	A reddish-brown alloy of copper and tin, often used for making statues and other decorative items.
senseval2.d000.s028.t005	A hollow metal object, typically with a handle or clapper, used to make a ringing sound when struck.
senseval2.d000.s028.t006	Attached or supported on a base or a support.
senseval2.d000.s028.t007	A circular frame with a hub and spokes, used for turning or rotating.
senseval2.d000.s028.t008	To move back and forth in a wide arc, especially through a complete rotation.
senseval2.d000.s028.t009	In a wild or frenzied manner.
senseval2.d000.s028.t010	Completely; entirely.
senseval2.d000.s028.t011	A unit of angular measurement, equal to 1/360 of a circle.
senseval2.d000.s028.t012	The beginning or commencement of a process, action, or period.
senseval2.d000.s028.t013	The final point or stage of something.
senseval2.d000.s028.t015	Turned upside down or reversed so that the bottom is at the top and the top is at the bottom.
senseval2.d000.s028.t016	A place, posture, or attitude, especially one assumed for a particular purpose or occasion.
senseval2.d000.s029.t001	A person who operates a bell or a set of bells, especially a change ringer in a church bell tower.
senseval2.d000.s029.t002	To employ something for a particular purpose or function.
senseval2.d000.s029.t005	To cause to slow down or come to a stop.
senseval2.d000.s029.t006	A complete rotation or oscillation, typically back and forth, on a pivot or axis.
senseval2.d000.s029.t007	Used to introduce a reason or an explanation.
senseval2.d000.s029.t008	A metal object, typically circular or oval, with a clapper that produces a ringing sound when struck, used as a musical
senseval2.d000.s029.t009	To exchange one thing for another thing.
senseval2.d000.s029.t010	A particular position or location in a sequence or arrangement.
senseval2.d000.s030.t000	Famous or widely recognized.
senseval2.d000.s030.t002	Including or containing as a part or element.
senseval2.d000.s030.t003	A building for public Christian worship, typically having a large tower with bells.
senseval2.d000.s030.t004	A hollow metal object that, when struck, produces a ringing sound.
senseval2.d000.s030.t005	Of or relating to England or its people, language, or culture.
senseval2.d000.s030.t007	To give a detailed and often written account of something, typically in a formal or official way.
senseval2.d000.s030.t008	A strong and barely controllable emotion.
senseval2.d000.s030.t009	To discover or come upon something by chance or after search.
senseval2.d000.s030.t010	A feeling of pleasure or contentment, typically because one's needs or desires have been fulfilled.
senseval2.d000.s030.t011	Relating to or according to mathematics; having the nature of or based on numbers and quantities.
senseval2.d000.s030.t012	The state of being complete; a state of being whole and undiminished in all its parts.
senseval2.d000.s030.t013	Relating to or involving machinery or tools; mechanical refers to the application of the principles of mechanics, especially in a machine or
senseval2.d000.s030.t014	The state of being complete and free from fault or defect.
senseval2.d000.s031.t000	People who perform a particular action or role, especially in a formal or ceremonial context.
senseval2.d000.s031.t001	Introduced or mentioned in addition to what has already been said or implied.
senseval2.d000.s031.t002	Completely or thoroughly imbued or penetrated with a quality, emotion, or idea.
senseval2.d000.s031.t003	Formally dignified and impressive in a serious way, often because of being connected with a ceremony or ritual.
senseval2.d000.s031.t004	To arrive or reach a place by movement or progress.
senseval2.d000.s031.t006	A series of actions or activities performed according to a prescribed rule or custom, often as part of a religious or spiritual practice.
senseval2.d000.s031.t008	Carried out or done; executed.
senseval2.d000.s032.t000	To develop or grow into something, typically gradually or naturally.
senseval2.d000.s032.t002	An all-consuming interest or desire.
senseval2.d000.s032.t003	To acknowledge or accept the truth or validity of something.
senseval2.d000.s032.t004	A person who has a high degree of skill or knowledge in a particular subject or activity.
senseval2.d000.s032.t007	Most excellent or of the highest quality.
senseval2.d000.s032.t008	Designating or relating to a person or animal of the sex that produces ova, typically having two X chromosomes.
senseval2.d000.s032.t009	A person who rings a bell, particularly a person who is skilled in ringing a church bell.
senseval2.d000.s033.t000	A strong and barely controllable emotion; a strong liking or enthusiasm for something.
senseval2.d000.s033.t002	Remains in a particular place or situation.
senseval2.d000.s033.t003	A tall, narrow, free-standing structure, typically of masonry or reinforced concrete, used as a fortress, observation post,
senseval2.d000.s033.t004	However: 1. In any case; nonetheless; still.2. Used to introduce a contrast or an addition to what
senseval2.d000.s034.t000	A greater number or amount than is normal or expected.
senseval2.d000.s034.t001	Used to indicate that something happens or is the case more frequently than not.
senseval2.d000.s034.t002	People who run a church bell.
senseval2.d000.s034.t003	Consider or regard something as being the case or having a particular characteristic.
senseval2.d000.s034.t004	A building for public Christian worship.
senseval2.d000.s034.t006	The lower or lowest part or position of something.
senseval2.d000.s035.t001	Finished or done with a particular task or project.
senseval2.d000.s035.t002	To become physically hot and sweaty, especially as a result of physical activity.
senseval2.d000.s035.t003	A transparent, sticky liquid secreted by the sweat glands of the skin.
senseval2.d000.s035.t004	A person, especially a young or inexperienced one, who is temporarily employed, often for a short period, to replace a regular
senseval2.d000.s035.t005	Used to indicate that something happens frequently, but not necessarily every time.
senseval2.d000.s035.t006	To move quickly and lightly, especially on foot, often in a carefree or joyful manner.
senseval2.d000.s035.t007	Near or in the same area or region; not distant or remote.
senseval2.d000.s035.t009	To go away from a place, depart, or move away from.
senseval2.d000.s035.t010	A place of public entertainment, especially a bar or restaurant that serves alcoholic beverages.
senseval2.d000.s035.t011	At a lower place or position than; underneath.
senseval2.d000.s036.t000	In a satisfactory or acceptable manner.
senseval2.d000.s037.t000	The state of being a member of an organization, group, or community.
senseval2.d000.s037.t002	Continuing at a consistent rate or pace, without sudden changes or interruptions.
senseval2.d000.s037.t005	A person who is in charge of a church, especially a member of the clergy in the Church of England.
senseval2.d000.s037.t006	To urge or persuade someone to do something, often firmly or insistently.
senseval2.d000.s037.t007	Used to indicate that two things are similar or comparable in some way.
senseval2.d000.s037.t009	Used to indicate that something happens or is the case frequently or repeatedly.
senseval2.d000.s037.t010	People, especially those not normally associated with an activity, who are brought in to participate, typically because the regular participants are unavailable
senseval2.d000.s037.t011	To be present at (an event, meeting, or occasion)
senseval2.d000.s037.t012	Regularly held meetings for worship or other activities in a church.
senseval2.d000.s038.t000	A period of 12 months.
senseval2.d000.s038.t002	A priest or clergyman in charge of a parish, especially in the Church of England.
senseval2.d000.s038.t003	To obtain or acquire (something) by chance or effort; to come to have or possess (something).
senseval2.d000.s038.t004	Used to indicate the extent or degree of something, especially a strong or extreme one.
senseval2.d000.s038.t005	A person, especially a volunteer, who is brought in temporarily to fill a position or role, often in a sporting or musical
senseval2.d000.s038.t006	To be present at (an event, meeting, or activity) as a participant, spectator, or member of an audience.
senseval2.d000.s038.t007	A regular meeting for worship, prayer, or other religious observance, especially in a Christian church.
senseval2.d000.s038.t008	To dismiss (an employee) from a job, often in a sudden or harsh manner.
senseval2.d000.s038.t009	Completely or totally; all of something.
senseval2.d000.s038.t011	A person who is brought in to take part in an activity, especially a sport or a team, to give it an advantage
senseval2.d000.s038.t012	In a timely or immediate manner; without delay.
senseval2.d000.s038.t015	A public expression of dissent or disapproval.
senseval2.d000.s039.t000	An organization or group of people with a shared interest, activity, or objective, especially one that is informal or exclusive.
senseval2.d000.s039.t001	Regarded or considered in a particular way.
senseval2.d000.s039.t002	A tall, narrow structure, typically of brick, stone, or concrete, that stands alone or as part of a building,
senseval2.d000.s039.t003	Used to indicate that something is of a particular type or kind, or to express a degree or extent of something.
senseval2.d000.s039.t004	Not connected or united with something else; distinct or independent.
senseval2.d000.s039.t006	Expresses or declares something in words.
senseval2.d000.s040.t000	Recently created, introduced, or discovered; not previously known or used.
senseval2.d000.s040.t002	On the current day.
senseval2.d000.s040.t003	A person who belongs to a particular group, organization, or community, often with certain rights or responsibilities.
senseval2.d000.s040.t004	A group of people gathered for a particular purpose, especially for worship.
senseval2.d000.s041.t000	Continuing to exist or be in a particular state; remaining.
senseval2.d000.s041.t002	A person who operates a bell, especially a church bell, by pulling the bell rope.
senseval2.d000.s041.t003	To produce a clear, ringing sound, typically with a bell or a series of bells.
senseval2.d000.s041.t005	A hollow metal object that is shaped like a cup or bowl and is sounded by being struck with a clapper or struck against
senseval2.d000.s042.t000	A hollow metal object that is rung to produce a musical sound, typically by being struck or swung.
senseval2.d000.s042.t002	Making no noise; not speaking or making a sound.
senseval2.d000.s042.t003	After a particular point in time; as a result of something.
senseval2.d000.s042.t005	A building for public worship or other Christian religious services, typically having a large hall or nave and a tower for a bell.
senseval2.d000.s043.t000	A priest in charge of a parish in the Church of England or some other Anglican church.
senseval2.d000.s043.t001	To decline or show a strong disinclination to do something; decline or reject a request or proposal.
senseval2.d000.s043.t002	To discuss or mention something in conversation.
senseval2.d000.s043.t003	Expressing or declaring something in words, typically in a formal or polite manner.
senseval2.d000.s044.t000	A priest in charge of a church or parish, especially in the Church of England.
senseval2.d000.s044.t002	A building for public Christian worship.
senseval2.d000.s044.t003	To have a particular emotion or impression about something; to believe or think something is true or likely.
senseval2.d000.s044.t004	A weakness or defect in something, especially in a system, structure, or mechanism.
senseval2.d000.s044.t008	Located close together in space or time; adjacent.
senseval2.d000.s044.t009	A table or structure in a church where a religious ceremony, especially a sacrifice or the Eucharist, is performed.
senseval2.d000.s045.t000	Used to introduce a statement that is a continuation of a previous one, often expressing a contrast or a consequence.
senseval2.d000.s045.t007	Nearby; at or in this place.
senseval2.d000.s045.t008	To arrive or move towards a place, typically in response to a signal or invitation.
senseval2.d000.s045.t009	People who are not regular members of a church or congregation, but who attend a service in order to swell the numbers.
senseval2.d000.s045.t010	Located or situated higher in position or level, especially in relation to something else.
senseval2.d000.s045.t011	Causing something to happen or exist; producing or creating something.
senseval2.d000.s045.t012	To a great extent or degree; extremely.
senseval2.d000.s045.t014	A way out or a place of departure.
senseval2.d000.s045.t015	A group of people gathered for worship, a meeting, or other shared purpose.
senseval2.d000.s045.t016	A devout or humble petition to a deity or higher power, typically expressed in words.
senseval2.d000.s045.t017	The past tense of say, meaning to express or state something in words.
senseval2.d000.s046.t000	To acknowledge or declare something, especially something unpleasant or unwanted.
senseval2.d000.s046.t001	Having or containing different things or qualities that are not the same, often in a confusing or unclear way.
senseval2.d000.s046.t002	A feeling is a strong emotion or a sentiment.
senseval2.d000.s046.t003	A matter for debate, discussion, or consideration; a problem or question.
senseval2.d000.s046.t004	A priest in charge of a parish, especially in the Church of England.
senseval2.d000.s046.t005	Engaged in or characterized by energetic and enthusiastic participation.
senseval2.d000.s046.t006	A person who operates or tolls a bell, especially a church bell.
senseval2.d000.s047.t000	A noise made by the vibration of an object, especially a musical sound produced by a bell.
senseval2.d000.s047.t001	A hollow metal object with a clapper that produces a ringing sound when struck, typically hung from a steeple or tower
senseval2.d000.s047.t002	To attract or entice someone or something, often in a subtle or indirect way.
senseval2.d000.s047.t003	Human beings collectively.
senseval2.d000.s047.t004	A building for public worship or other religious purposes.
senseval2.d000.s047.t005	Quotes or repeats (what someone else has said).
senseval2.d000.s048.t000	To exist or have life; to be alive.
senseval2.d000.s048.t001	A feeling of expectation and desire for a particular thing to happen.
senseval2.d000.s048.t002	People used as substitutes, especially in a competition or game.
senseval2.d000.s048.t003	Attracted or induced to do something, often involuntarily.
senseval2.d000.s048.t004	Having more or more intense qualities such as color, flavor, or emotion; more complete or thorough; richer or more vivid.
senseval2.d000.s048.t005	The condition of being alive, or the period of time during which a person or animal lives.
senseval2.d000.s049.t000	A type or category, especially one that is not strictly defined.
senseval2.d000.s049.t001	A legislative or governing assembly, especially in a country or state.
senseval2.d000.s049.t002	A number of people with a particular characteristic or interest who meet or work together.
senseval2.d000.s049.t003	To intend or try to do something.
senseval2.d000.s049.t004	To make something better, more effective, or more satisfactory.
senseval2.d000.s049.t006	A clergyman who is in charge of a parish, especially in the Church of England.
senseval2.d000.s049.t007	Used to indicate that the following words are a quotation or a direct statement from someone.
senseval2.d000.s049.t008	The person who is in charge of a country, organization, or institution, or the person who leads a meeting or conference.
senseval2.d000.s050.t000	To feel or be confident that something will happen or be the case.
senseval2.d000.s050.t001	To utter words or make a sound, typically in order to communicate or express one's thoughts or feelings.
senseval2.d000.s050.t002	Young people, especially those studying at a school, college, or university.
senseval2.d000.s050.t004	An institution for higher or further education, especially one that is not part of a university.
